trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
164,False,"{'a': 0.8487420218802068, 'e': 0.9698942836196508}",20,0,-72.55910682149585,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
165,False,"{'a': 0.8478937040879159, 'e': 0.9695279031147593}",25,4,-71.9779459547064,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 1}",1
166,False,"{'a': 0.8470462341893996, 'e': 0.9691593411724948}",30,0,-236.75704311409663,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 5}",0
167,False,"{'a': 0.8461996113371882, 'e': 0.9687885986221216}",35,0,-169.16650329853658,"{0: 20, 1: 5, 2: 5, 3: 4, 4: 1}",0
168,False,"{'a': 0.8453538346846587, 'e': 0.9684156762978101}",30,14,-15.597391508883618,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 0}",1
169,False,"{'a': 0.8445089033860343, 'e': 0.9680405750386356}",20,5,-85.7934002964189,"{0: 7, 1: 1, 2: 5, 3: 2, 4: 0}",1
170,False,"{'a': 0.8436648165963837, 'e': 0.9676632956885756}",25,0,-118.86197266442548,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
171,False,"{'a': 0.8428215734716199, 'e': 0.9672838390965085}",25,0,-146.73826273698774,"{0: 14, 1: 0, 2: 8, 3: 2, 4: 1}",0
172,False,"{'a': 0.8419791731684999, 'e': 0.9669022061162116}",25,0,-87.18612242295814,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
173,False,"{'a': 0.8411376148446232, 'e': 0.9665183976063587}",20,0,-98.14687422644141,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
174,False,"{'a': 0.8402968976584314, 'e': 0.966132414430519}",30,0,-238.40903980064786,"{0: 14, 1: 6, 2: 3, 3: 4, 4: 3}",0
175,False,"{'a': 0.8394570207692074, 'e': 0.9657442574571544}",20,0,-66.698040279699,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
176,False,"{'a': 0.838617983337074, 'e': 0.965353927559618}",25,0,-43.20886810598852,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
177,False,"{'a': 0.8377797845229938, 'e': 0.9649614256161518}",20,0,-92.01388116685698,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
178,False,"{'a': 0.8369424234887681, 'e': 0.9645667525098851}",20,0,-148.56151805782403,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
179,False,"{'a': 0.8361058993970355, 'e': 0.9641699091288323}",35,0,-235.72866895112173,"{0: 21, 1: 3, 2: 5, 3: 2, 4: 4}",0
180,False,"{'a': 0.835270211411272, 'e': 0.9637708963658905}",20,0,-105.94189518556246,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
181,False,"{'a': 0.8344353586957896, 'e': 0.9633697151188385}",20,0,-197.4454152840317,"{0: 11, 1: 0, 2: 3, 3: 3, 4: 3}",0
182,False,"{'a': 0.8336013404157353, 'e': 0.962966366290334}",20,0,-65.21352551582703,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
183,False,"{'a': 0.832768155737091, 'e': 0.9625608507879115}",25,0,-166.22132028304836,"{0: 11, 1: 2, 2: 9, 3: 2, 4: 1}",0
184,False,"{'a': 0.8319358038266718, 'e': 0.9621531695239809}",30,0,-211.21195334150693,"{0: 18, 1: 1, 2: 7, 3: 0, 4: 4}",0
185,False,"{'a': 0.8311042838521256, 'e': 0.9617433234158248}",20,0,-137.2856489120033,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
186,False,"{'a': 0.8302735949819328, 'e': 0.9613313133855966}",20,0,-53.69654117250331,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
187,False,"{'a': 0.8294437363854039, 'e': 0.960917140360319}",20,0,-189.7324738814042,"{0: 7, 1: 4, 2: 6, 3: 0, 4: 3}",0
188,False,"{'a': 0.8286147072326806, 'e': 0.9605008052718809}",20,0,-66.26383412007115,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
189,False,"{'a': 0.8277865066947336, 'e': 0.9600823090570362}",20,0,-66.20143541518938,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
190,False,"{'a': 0.8269591339433623, 'e': 0.9596616526574011}",25,0,-46.29688799186265,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
191,False,"{'a': 0.8261325881511938, 'e': 0.9592388370194525}",20,12,-56.08977119927985,"{0: 4, 1: 1, 2: 2, 3: 0, 4: 1}",1
192,False,"{'a': 0.8253068684916824, 'e': 0.9588138630945251}",35,0,-145.38332302729705,"{0: 19, 1: 4, 2: 9, 3: 3, 4: 0}",0
193,False,"{'a': 0.8244819741391082, 'e': 0.9583867318388103}",20,0,-89.22218019091564,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
194,False,"{'a': 0.8236579042685769, 'e': 0.9579574442133532}",25,1,-115.3882515863927,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 1}",1
195,False,"{'a': 0.8228346580560184, 'e': 0.9575260011840507}",25,0,-127.48021267350744,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
196,False,"{'a': 0.8220122346781865, 'e': 0.9570924037216496}",20,0,-100.17348350707942,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
197,False,"{'a': 0.821190633312658, 'e': 0.9566566528017438}",20,0,-79.39658240185237,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
198,False,"{'a': 0.8203698531378311, 'e': 0.9562187494047729}",30,0,-74.46279367403775,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
199,False,"{'a': 0.8195498933329256, 'e': 0.9557786945160192}",20,7,-17.300624412814276,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 0}",1
200,False,"{'a': 0.8187307530779818, 'e': 0.955336489125606}",20,7,-110.35780202426358,"{0: 5, 1: 0, 2: 6, 3: 1, 4: 1}",1
201,False,"{'a': 0.8179124315538594, 'e': 0.9548921342284954}",30,0,-176.73549492784215,"{0: 17, 1: 1, 2: 9, 3: 1, 4: 2}",0
202,False,"{'a': 0.8170949279422366, 'e': 0.9544456308244855}",20,0,-177.27416038126592,"{0: 10, 1: 0, 2: 7, 3: 0, 4: 3}",0
203,False,"{'a': 0.8162782414256099, 'e': 0.953996979918209}",30,0,-145.59492914448126,"{0: 18, 1: 2, 2: 7, 3: 2, 4: 1}",0
204,False,"{'a': 0.8154623711872927, 'e': 0.9535461825191301}",20,0,-115.09680773358954,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
205,False,"{'a': 0.8146473164114145, 'e': 0.9530932396415428}",20,0,-82.19938787272932,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
206,False,"{'a': 0.8138330762829207, 'e': 0.9526381523045685}",20,0,-101.34823184303764,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
207,False,"{'a': 0.813019649987571, 'e': 0.9521809215321533}",30,0,-160.4420456305942,"{0: 17, 1: 7, 2: 3, 3: 0, 4: 3}",0
208,False,"{'a': 0.8122070367119391, 'e': 0.9517215483530664}",25,0,-116.02604677237973,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
209,False,"{'a': 0.8113952356434114, 'e': 0.9512600338008972}",20,1,-75.2976589571584,"{0: 12, 1: 2, 2: 2, 3: 3, 4: 0}",1
210,False,"{'a': 0.8105842459701871, 'e': 0.9507963789140532}",20,0,-169.30258960271928,"{0: 9, 1: 3, 2: 3, 3: 3, 4: 2}",0
211,False,"{'a': 0.8097740668812763, 'e': 0.9503305847357579}",30,0,-61.71573751048171,"{0: 22, 1: 2, 2: 4, 3: 2, 4: 0}",0
212,False,"{'a': 0.8089646975664999, 'e': 0.9498626523140478}",20,4,2.48764453404832,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
213,False,"{'a': 0.8081561372164884, 'e': 0.9493925827017706}",20,0,-49.9653623490805,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
214,False,"{'a': 0.8073483850226815, 'e': 0.948920376956583}",30,0,-118.53105551899294,"{0: 21, 1: 3, 2: 3, 3: 1, 4: 2}",0
215,False,"{'a': 0.8065414401773269, 'e': 0.9484460361409476}",20,0,-82.82286451878132,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
216,False,"{'a': 0.8057353018734796, 'e': 0.9479695613221308}",20,0,-39.90712665559959,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
217,False,"{'a': 0.8049299693050015, 'e': 0.9474909535722011}",20,0,-42.162777381056465,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
218,False,"{'a': 0.8041254416665596, 'e': 0.9470102139680256}",25,0,-108.4278290531493,"{0: 12, 1: 5, 2: 7, 3: 1, 4: 0}",0
219,False,"{'a': 0.8033217181536265, 'e': 0.9465273435912682}",25,0,-227.91954554546487,"{0: 12, 1: 2, 2: 5, 3: 3, 4: 3}",0
220,False,"{'a': 0.8025187979624785, 'e': 0.946042343528387}",20,0,-60.526396493254985,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
221,False,"{'a': 0.8017166802901953, 'e': 0.9455552148706319}",20,0,-61.93701591624182,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
222,False,"{'a': 0.8009153643346592, 'e': 0.9450659587140423}",25,0,-36.1325706210886,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
223,False,"{'a': 0.8001148492945541, 'e': 0.9445745761594444}",20,0,-67.0690285483248,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
224,False,"{'a': 0.7993151343693651, 'e': 0.9440810683124485}",25,0,-13.279409587373044,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
225,False,"{'a': 0.7985162187593771, 'e': 0.9435854362834473}",20,0,-125.92836025060157,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
226,False,"{'a': 0.7977181016656743, 'e': 0.9430876811876123}",25,0,-156.30992123291992,"{0: 14, 1: 4, 2: 3, 3: 2, 4: 2}",0
227,False,"{'a': 0.7969207822901396, 'e': 0.9425878041448927}",20,0,-140.45854303744136,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",0
228,False,"{'a': 0.7961242598354538, 'e': 0.9420858062800114}",30,0,-71.0608222565104,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
229,False,"{'a': 0.795328533505094, 'e': 0.9415816887224634}",20,0,-133.53283803246,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
230,False,"{'a': 0.794533602503334, 'e': 0.941075452606513}",20,0,-74.39677453949797,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 0}",0
231,False,"{'a': 0.7937394660352428, 'e': 0.9405670990711913}",30,0,-161.76633626952022,"{0: 14, 1: 4, 2: 10, 3: 1, 4: 1}",1
232,False,"{'a': 0.7929461233066837, 'e': 0.9400566292602934}",20,0,-82.88365085152988,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
233,False,"{'a': 0.792153573524314, 'e': 0.9395440443223763}",35,0,-170.02236874642261,"{0: 20, 1: 5, 2: 7, 3: 1, 4: 2}",0
234,False,"{'a': 0.7913618158955839, 'e': 0.9390293454107558}",20,0,-46.68835769903054,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
235,False,"{'a': 0.7905708496287356, 'e': 0.9385125336835043}",20,0,-153.15127012218846,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
236,False,"{'a': 0.7897806739328027, 'e': 0.937993610303448}",20,0,-3.4508406619307115,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
237,False,"{'a': 0.7889912880176096, 'e': 0.9374725764381642}",20,0,-57.06070995187427,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
238,False,"{'a': 0.7882026910937704, 'e': 0.9369494332599789}",30,0,-197.54389772927925,"{0: 18, 1: 0, 2: 8, 3: 1, 4: 3}",0
239,False,"{'a': 0.7874148823726879, 'e': 0.936424181945964}",25,0,-95.10075017321552,"{0: 13, 1: 5, 2: 6, 3: 1, 4: 0}",0
240,False,"{'a': 0.7866278610665535, 'e': 0.9358968236779348}",20,0,-58.44549687707721,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
241,False,"{'a': 0.7858416263883455, 'e': 0.9353673596424472}",20,0,-48.2779274565185,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
242,False,"{'a': 0.7850561775518295, 'e': 0.9348357910307951}",25,0,-103.1735713257044,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
243,False,"{'a': 0.7842715137715565, 'e': 0.9343021190390074}",25,0,-208.5077965528877,"{0: 11, 1: 2, 2: 7, 3: 3, 4: 2}",0
244,False,"{'a': 0.7834876342628625, 'e': 0.933766344867846}",20,0,-47.456799500183294,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
245,False,"{'a': 0.7827045382418681, 'e': 0.9332284697228027}",20,0,-22.34896275562283,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
246,False,"{'a': 0.7819222249254772, 'e': 0.9326884948140962}",30,0,-170.9083168695783,"{0: 18, 1: 1, 2: 7, 3: 2, 4: 2}",0
247,False,"{'a': 0.7811406935313765, 'e': 0.9321464213566698}",30,0,-263.5946377113054,"{0: 11, 1: 6, 2: 9, 3: 0, 4: 4}",0
248,False,"{'a': 0.7803599432780343, 'e': 0.9316022505701886}",20,0,-130.64464206817493,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
249,False,"{'a': 0.7795799733847004, 'e': 0.9310559836790367}",30,0,-159.59363389455186,"{0: 20, 1: 2, 2: 5, 3: 0, 4: 3}",0
250,False,"{'a': 0.7788007830714049, 'e': 0.9305076219123143}",20,0,-28.236278679892294,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
251,False,"{'a': 0.7780223715589574, 'e': 0.9299571665038351}",20,0,-90.88045134008941,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
252,False,"{'a': 0.7772447380689461, 'e': 0.9294046186921237}",20,0,-51.292442720375455,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
253,False,"{'a': 0.7764678818237378, 'e': 0.9288499797204122}",25,0,-95.1830049978838,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
254,False,"{'a': 0.775691802046476, 'e': 0.9282932508366383}",20,0,-117.524657782833,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
255,False,"{'a': 0.774916497961081, 'e': 0.9277344332934415}",25,17,5.326256271101328,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 0.7741419687922484, 'e': 0.9271735283481612}",25,0,-148.83171011174738,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 3}",0
257,False,"{'a': 0.7733682137654491, 'e': 0.9266105372628335}",30,0,-79.13294135074989,"{0: 22, 1: 1, 2: 6, 3: 0, 4: 1}",0
258,False,"{'a': 0.772595232106928, 'e': 0.9260454613041876}",25,0,-91.43095928393117,"{0: 15, 1: 6, 2: 2, 3: 1, 4: 1}",0
259,False,"{'a': 0.7718230230437035, 'e': 0.9254783017436445}",25,0,-151.94470870877754,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
260,False,"{'a': 0.7710515858035663, 'e': 0.9249090598573131}",25,0,-87.75824395897604,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
261,False,"{'a': 0.7702809196150792, 'e': 0.924337736925987}",35,0,-194.61742856986368,"{0: 16, 1: 8, 2: 8, 3: 1, 4: 2}",0
262,False,"{'a': 0.7695110237075758, 'e': 0.9237643342351429}",25,5,-121.78809744412806,"{0: 13, 1: 2, 2: 1, 3: 2, 4: 2}",1
263,False,"{'a': 0.7687418973111603, 'e': 0.9231888530749364}",30,0,-227.69488747880908,"{0: 14, 1: 0, 2: 13, 3: 0, 4: 3}",0
264,False,"{'a': 0.7679735396567062, 'e': 0.9226112947402}",25,0,-135.68805286697298,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
265,False,"{'a': 0.7672059499758557, 'e': 0.9220316605304396}",20,0,-53.18160192880408,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
266,False,"{'a': 0.7664391275010192, 'e': 0.921449951749832}",20,0,-79.63020188161899,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
267,False,"{'a': 0.7656730714653739, 'e': 0.9208661697072218}",20,0,-108.81299029856069,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
268,False,"{'a': 0.7649077811028641, 'e': 0.9202803157161181}",30,0,-188.8115719340797,"{0: 16, 1: 0, 2: 11, 3: 1, 4: 2}",0
269,False,"{'a': 0.764143255648199, 'e': 0.9196923910946924}",25,0,-164.26670004434015,"{0: 14, 1: 1, 2: 6, 3: 2, 4: 2}",0
270,False,"{'a': 0.7633794943368531, 'e': 0.9191023971657747}",25,0,-66.31209771270662,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
271,False,"{'a': 0.7626164964050653, 'e': 0.9185103352568511}",20,0,-99.95780913432738,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
272,False,"{'a': 0.7618542610898376, 'e': 0.9179162067000607}",25,0,-14.64347474159115,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
273,False,"{'a': 0.7610927876289343, 'e': 0.9173200128321924}",20,0,-43.35118301315676,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
274,False,"{'a': 0.7603320752608821, 'e': 0.9167217549946823}",25,0,-76.2976472365522,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
275,False,"{'a': 0.7595721232249685, 'e': 0.9161214345336103}",20,0,-29.013803531613103,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
276,False,"{'a': 0.7588129307612415, 'e': 0.9155190527996969}",25,0,-153.46680880861862,"{0: 12, 1: 5, 2: 6, 3: 0, 4: 2}",0
277,False,"{'a': 0.7580544971105083, 'e': 0.9149146111483011}",25,0,-84.18380437055849,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
278,False,"{'a': 0.7572968215143355, 'e': 0.914308110939416}",20,0,-72.29601458537063,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 0}",0
279,False,"{'a': 0.7565399032150474, 'e': 0.9136995535376672}",20,0,-84.35306061661417,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
280,False,"{'a': 0.7557837414557255, 'e': 0.9130889403123083}",25,0,-29.70482484920911,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
281,False,"{'a': 0.755028335480208, 'e': 0.9124762726372189}",30,0,-143.80878209664007,"{0: 15, 1: 3, 2: 11, 3: 0, 4: 1}",0
282,False,"{'a': 0.754273684533089, 'e': 0.911861551890901}",20,0,-56.39275390721673,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
283,False,"{'a': 0.7535197878597173, 'e': 0.9112447794564762}",20,0,-107.8337806817174,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
284,False,"{'a': 0.7527666447061963, 'e': 0.9106259567216819}",20,0,-39.18500698779962,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
285,False,"{'a': 0.7520142543193826, 'e': 0.9100050850788691}",20,0,-85.61953305185905,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
286,False,"{'a': 0.751262615946886, 'e': 0.9093821659249989}",20,0,-46.84646161803795,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
287,False,"{'a': 0.750511728837068, 'e': 0.908757200661639}",30,0,-94.23709419153525,"{0: 23, 1: 2, 2: 3, 3: 0, 4: 2}",0
288,False,"{'a': 0.7497615922390413, 'e': 0.9081301906949609}",20,0,-179.69940285545664,"{0: 8, 1: 0, 2: 9, 3: 1, 4: 2}",0
289,False,"{'a': 0.7490122054026693, 'e': 0.907501137435737}",20,9,-33.713446585544624,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
290,False,"{'a': 0.7482635675785653, 'e': 0.9068700422993367}",20,0,-83.76434815784289,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
291,False,"{'a': 0.747515678018091, 'e': 0.9062369067057237}",20,0,-162.49736357029863,"{0: 11, 1: 1, 2: 3, 3: 3, 4: 2}",0
292,False,"{'a': 0.7467685359733571, 'e': 0.9056017320794529}",20,0,-67.96088201765309,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
293,False,"{'a': 0.7460221406972215, 'e': 0.9049645198496671}",20,13,10.641400199815877,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
294,False,"{'a': 0.7452764914432887, 'e': 0.9043252714500934}",20,0,-57.031081252899135,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
295,False,"{'a': 0.7445315874659094, 'e': 0.9036839883190404}",25,0,-18.75426588469332,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
296,False,"{'a': 0.7437874280201796, 'e': 0.903040671899395}",25,0,-121.5413933552658,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
297,False,"{'a': 0.7430440123619398, 'e': 0.9023953236386187}",20,0,-43.22779995387666,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
298,False,"{'a': 0.7423013397477743, 'e': 0.901747944988745}",25,0,-146.41465812336975,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
299,False,"{'a': 0.7415594094350105, 'e': 0.9010985374063755}",30,0,-33.38024402220899,"{0: 24, 1: 0, 2: 6, 3: 0, 4: 0}",0
300,False,"{'a': 0.7408182206817179, 'e': 0.9004471023526769}",25,0,-137.90835356471,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
301,False,"{'a': 0.7400777727467077, 'e': 0.8997936412933779}",20,0,-20.786439787210394,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
302,False,"{'a': 0.7393380648895319, 'e': 0.8991381556987657}",20,5,-121.41935875000087,"{0: 8, 1: 1, 2: 3, 3: 1, 4: 2}",1
303,False,"{'a': 0.7385990963704826, 'e': 0.8984806470436824}",20,10,8.077434492342164,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
304,False,"{'a': 0.7378608664505912, 'e': 0.8978211168075223}",25,11,-20.079061534349872,"{0: 9, 1: 4, 2: 1, 3: 0, 4: 0}",1
305,False,"{'a': 0.7371233743916278, 'e': 0.8971595664742282}",20,4,-87.94173858248385,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 2}",1
306,False,"{'a': 0.7363866194561002, 'e': 0.8964959975322879}",25,0,-67.70901079785482,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
307,False,"{'a': 0.7356506009072533, 'e': 0.8958304114747315}",30,0,-167.05093609058625,"{0: 15, 1: 7, 2: 3, 3: 4, 4: 1}",0
308,False,"{'a': 0.7349153180090687, 'e': 0.8951628097991272}",30,0,-124.16953117484366,"{0: 18, 1: 3, 2: 7, 3: 1, 4: 1}",0
309,False,"{'a': 0.7341807700262634, 'e': 0.8944931940075784}",20,0,-40.640218890172534,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
310,False,"{'a': 0.7334469562242892, 'e': 0.8938215656067205}",20,0,-171.659816431193,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 4}",0
311,False,"{'a': 0.7327138758693325, 'e': 0.8931479261077172}",25,0,-66.40773849433754,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
312,False,"{'a': 0.7319815282283126, 'e': 0.8924722770262568}",25,4,-232.99038753154778,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 5}",1
313,False,"{'a': 0.731249912568882, 'e': 0.8917946198825496}",25,0,-36.48259151378801,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
314,False,"{'a': 0.7305190281594249, 'e': 0.891114956201324}",25,0,-131.17883355047087,"{0: 12, 1: 3, 2: 9, 3: 0, 4: 1}",0
315,False,"{'a': 0.7297888742690568, 'e': 0.8904332875118228}",30,14,-79.98378226532655,"{0: 9, 1: 1, 2: 5, 3: 0, 4: 1}",1
316,False,"{'a': 0.7290594501676239, 'e': 0.8897496153478003}",30,0,-117.40112636696445,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
317,False,"{'a': 0.7283307551257018, 'e': 0.8890639412475188}",25,0,-56.76002624702211,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
318,False,"{'a': 0.7276027884145955, 'e': 0.8883762667537444}",20,0,-68.04647266144545,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
319,False,"{'a': 0.7268755493063382, 'e': 0.8876865934137446}",35,0,-149.25411157792647,"{0: 25, 1: 1, 2: 5, 3: 2, 4: 2}",0
320,False,"{'a': 0.7261490370736909, 'e': 0.8869949227792842}",20,0,-44.4493779294777,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
321,False,"{'a': 0.7254232509901412, 'e': 0.8863012564066217}",20,0,-18.8376188352985,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
322,False,"{'a': 0.7246981903299029, 'e': 0.8856055958565062}",20,1,-89.83073045703742,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 2}",1
323,False,"{'a': 0.7239738543679153, 'e': 0.8849079426941736}",30,0,-116.92065319927357,"{0: 21, 1: 2, 2: 3, 3: 3, 4: 1}",0
324,False,"{'a': 0.7232502423798425, 'e': 0.8842082984893433}",30,0,-139.41497295095587,"{0: 23, 1: 1, 2: 2, 3: 1, 4: 3}",0
325,False,"{'a': 0.7225273536420722, 'e': 0.8835066648162144}",30,0,-156.22455112219086,"{0: 16, 1: 0, 2: 13, 3: 0, 4: 1}",0
326,False,"{'a': 0.7218051874317158, 'e': 0.8828030432534625}",25,2,-76.13263217705557,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 1}",1
327,False,"{'a': 0.721083743026607, 'e': 0.8820974353842356}",20,0,-55.963975873022925,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
328,False,"{'a': 0.7203630197053014, 'e': 0.8813898427961513}",20,0,-133.7767980184706,"{0: 13, 1: 2, 2: 0, 3: 3, 4: 2}",0
329,False,"{'a': 0.7196430167470754, 'e': 0.8806802670812924}",20,5,-110.59712142903913,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 2}",1
330,False,"{'a': 0.7189237334319262, 'e': 0.8799687098362042}",20,0,-45.41675302777511,"{0: 14, 1: 3, 2: 1, 3: 2, 4: 0}",0
331,False,"{'a': 0.7182051690405703, 'e': 0.8792551726618901}",25,2,-82.29486783602457,"{0: 19, 1: 0, 2: 1, 3: 1, 4: 2}",1
332,False,"{'a': 0.7174873228544433, 'e': 0.8785396571638084}",25,0,-129.75204856844442,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
333,False,"{'a': 0.716770194155699, 'e': 0.8778221649518688}",20,0,-42.16432870225822,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
334,False,"{'a': 0.7160537822272085, 'e': 0.8771026976404284}",30,0,-198.28473152232732,"{0: 20, 1: 1, 2: 4, 3: 1, 4: 4}",0
335,False,"{'a': 0.7153380863525599, 'e': 0.8763812568482883}",30,0,-140.92222696608368,"{0: 15, 1: 3, 2: 10, 3: 2, 4: 0}",0
336,False,"{'a': 0.7146231058160574, 'e': 0.87565784419869}",20,0,-98.99275761736989,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
