trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
40,False,"{'a': 0.9607894391523232, 'e': 0.9982005399352042}",25,0,-144.71743211092618,"{0: 12, 1: 0, 2: 12, 3: 0, 4: 1}",0
41,False,"{'a': 0.9598291299477989, 'e': 0.9981094709838179}",25,0,-186.24885664757366,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
42,False,"{'a': 0.9588697805724845, 'e': 0.9980161562865429}",20,0,-117.3370865080292,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
43,False,"{'a': 0.9579113900670306, 'e': 0.9979205960533374}",20,0,-65.9310449333368,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
44,False,"{'a': 0.9569539574730467, 'e': 0.9978227904992117}",20,0,-103.35013070873718,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
45,False,"{'a': 0.9559974818331, 'e': 0.9977227398442284}",20,0,-42.417729441536416,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
46,False,"{'a': 0.9550419621907147, 'e': 0.9976204443135014}",20,0,-45.65437737457441,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
47,False,"{'a': 0.9540873975903711, 'e': 0.9975159041371955}",25,0,-182.46783684732733,"{0: 15, 1: 2, 2: 3, 3: 2, 4: 3}",0
48,False,"{'a': 0.9531337870775047, 'e': 0.9974091195505261}",25,0,-41.51650938866995,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
49,False,"{'a': 0.9521811296985049, 'e': 0.9973000907937586}",20,0,-85.62606648681682,"{0: 11, 1: 0, 2: 8, 3: 1, 4: 0}",0
50,False,"{'a': 0.951229424500714, 'e': 0.9971888181122075}",25,0,-121.36076914633423,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
51,False,"{'a': 0.950278670532427, 'e': 0.9970753017562363}",20,12,-9.253488878976661,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
52,False,"{'a': 0.9493288668428895, 'e': 0.9969595419812568}",25,0,-55.21065265854506,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
53,False,"{'a': 0.9483800124822982, 'e': 0.9968415390477284}",20,0,-65.86888120627559,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
54,False,"{'a': 0.9474321065017983, 'e': 0.9967212932211577}",20,0,-85.20710182246567,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
55,False,"{'a': 0.9464851479534838, 'e': 0.9965988047720977}",30,0,-91.82806258627667,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
56,False,"{'a': 0.9455391358903963, 'e': 0.9964740739761475}",20,0,-38.46748716174661,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
57,False,"{'a': 0.9445940693665233, 'e': 0.9963471011139512}",25,0,-189.60155565870008,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
58,False,"{'a': 0.9436499474367985, 'e': 0.9962178864711978}",25,0,-229.03140679930522,"{0: 13, 1: 1, 2: 6, 3: 1, 4: 4}",0
59,False,"{'a': 0.9427067691570997, 'e': 0.99608643033862}",20,4,-32.0553707312168,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 0}",1
60,False,"{'a': 0.9417645335842487, 'e': 0.9959527330119943}",20,0,-62.68319030239083,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
61,False,"{'a': 0.9408232397760097, 'e': 0.9958167947921394}",30,0,-228.87852415222918,"{0: 15, 1: 4, 2: 5, 3: 3, 4: 3}",0
62,False,"{'a': 0.9398828867910889, 'e': 0.9956786159849162}",30,0,-193.58424332427444,"{0: 15, 1: 6, 2: 4, 3: 3, 4: 2}",0
63,False,"{'a': 0.9389434736891332, 'e': 0.9955381969012274}",20,0,-53.96049516279302,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
